id,year,date,session_start,session_end,room,chair,session_title,duration,dtstart,dtend,location,author,type,title,topic
1,2019,Sun 26 May 2019,08:45,09:05,Place du Canada,Chair(s): Francisco Servant Virginia Tech,Welcome + Tribute to Ric Holt,10.0,2019-05-26T08:45:00,2019-05-26T08:55:00,Place du Canada,,Day opening,Tribute to Ric Holt,MSR 2019 Plenary
2,2019,Sun 26 May 2019,08:45,09:05,Place du Canada,Chair(s): Francisco Servant Virginia Tech,Welcome + Tribute to Ric Holt,10.0,2019-05-26T08:55:00,2019-05-26T09:05:00,Place du Canada,,Day opening,Welcome,MSR 2019 Plenary
3,2019,Sun 26 May 2019,09:05,10:30,Place du Canada,Chair(s): Francisco Servant Virginia Tech,Keynote + Q&A + Discussion,45.0,2019-05-26T09:05:00,2019-05-26T09:50:00,Place du Canada,Robert DeLine,Talk,Keynote: We Won! Now What?,MSR 2019 Keynote
4,2019,Sun 26 May 2019,09:05,10:30,Place du Canada,Chair(s): Francisco Servant Virginia Tech,Keynote + Q&A + Discussion,10.0,2019-05-26T09:50:00,2019-05-26T10:00:00,Place du Canada,,,Q&A for Keynote,MSR 2019 Keynote
5,2019,Sun 26 May 2019,09:05,10:30,Place du Canada,Chair(s): Francisco Servant Virginia Tech,Keynote + Q&A + Discussion,30.0,2019-05-26T10:00:00,2019-05-26T10:30:00,Place du Canada,"Thomas Zimmermann, Alexander Serebrenik",,Discussion: Ethical MSR,MSR 2019 Keynote
6,2019,Sun 26 May 2019,11:00,11:45,Centre-Ville,Chair(s): Francisco Servant Virginia Tech,Session II: Defect Prediction and Testing (Part 1),15.0,2019-05-26T11:00:00,2019-05-26T11:15:00,Centre-Ville,"Thong Hoang, Hoa Khanh Dam, Yasutaka Kamei, David Lo, Naoyasu Ubayashi",Full-paper,DeepJIT: An End-To-End Deep LearningFramework for Just-In-Time Defect Prediction,MSR 2019 Technical Papers
7,2019,Sun 26 May 2019,11:00,11:45,Centre-Ville,Chair(s): Francisco Servant Virginia Tech,Session II: Defect Prediction and Testing (Part 1),15.0,2019-05-26T11:16:00,2019-05-26T11:31:00,Centre-Ville,"Hoa Khanh Dam, Trang Pham, Shien Wee Ng, Truyen Tran, John Grundy, Aditya Ghose, Taeksu Kim, Chul-Joo Kim",Full-paper,Lessons learned from using a deep tree-based model for software defect prediction in practice,MSR 2019 Technical Papers
8,2019,Sun 26 May 2019,11:00,11:45,Centre-Ville,Chair(s): Francisco Servant Virginia Tech,Session II: Defect Prediction and Testing (Part 1),6.0,2019-05-26T11:32:00,2019-05-26T11:38:00,Centre-Ville,"Max Kiehn, Xiangyi Pan, Fatih Camci",Short-paper,Empirical study in using version histories for change risk classification,MSR 2019 Technical Papers
9,2019,Sun 26 May 2019,11:00,11:45,Centre-Ville,Chair(s): Francisco Servant Virginia Tech,Session II: Defect Prediction and Testing (Part 1),6.0,2019-05-26T11:39:00,2019-05-26T11:45:00,Centre-Ville,"Aalok Ahluwalia, Davide Falessi, Massimiliano Di Penta",Short-paper,Snoring: a Noise in Defect Prediction Datasets,MSR 2019 Technical Papers
10,2019,Sun 26 May 2019,11:00,11:45,Place du Canada,Chair(s): Francisco Servant Virginia Tech,Session I: Representations for Mining (Part 1),15.0,2019-05-26T11:00:00,2019-05-26T11:15:00,Place du Canada,"Shayan Akbar, Avinash Kak,  Pre-print,  Media Attached",Full-paper,SCOR: Source Code Retrieval With Semantics and Order,MSR 2019 Technical Papers
